lat,lng
34.018234,-118.498367
47.880344,10.040342
42.710356,-73.819109
43.68606,-93.357721
41.699048,-85.000326
59.426361,15.827083
35.486585,-120.666378
60.898649,7.210826
47.85229077,3.543402815
49.211936,9.077322
34.849109,-117.085442
47.576995,7.841158
38.249149,-112.652524
47.61573,-122.20415
60.365082,5.342678
52.50342,13.32797
45.734046,-108.604932
30.178102,120.218121
37.625618,-109.473842
33.9153838,-117.8875168
33.443011,-112.556876
34.614555,-120.188432
37.593128,-122.367306
36.070788,-79.511222
48.509771,-122.338627
33.97585,-118.382923
46.729872,-122.977392
34.0604600000,-118.4186000000
45.592227,5.899842
45.58693,4.787807
41.161085,-104.804955
41.8908330000,-87.6542180000
40.0583524,-82.9278916
29.690066,-96.537727
39.92646,-122.1984
32.068583,-96.448248
33.6774119000,-117.8798380000
40.683508,-80.108327
25.6898826000,-80.3142279000
26.0545388000,-80.1632571000
41.080103,-73.46135
41.067306,-73.504917
52.0703108000,4.3908317000
39.67888,-104.914239
44.737025,-122.152108
40.0458650000,-75.4332791000
62.073923,9.125562
59.730382,10.220252
41.660517,-71.497242
40.0500870000,-82.9151650000
44.77083,-91.43711
51.4816270000,5.4553170000
46.976918,-120.54162
52.359241,7.264215
56.93193,12.51805
36.766315,-108.144266
33.6144050000,-117.8728630000
33.5031670000,-111.9296800000
35.174151,-111.663194
38.642291,-121.18813
26.485574,-81.787149
50.1328490000,8.7658610000
37.492439,-121.944725
35.505278,-108.828094
40.9175177,-74.0769911
32.943675,-112.734081
37.02445,-121.56535
37.66976,-77.461414
39.552676,-107.340171
60.702333,8.986
39.326258,-101.725107
49.91157864,10.00140633
39.090758,-108.604325
42.460931,-123.324124
47.0370432,15.4783312
38.993577,-110.140513
41.041538,-73.671661
41.040555,-73.673445
39.605859,-77.733324
53.6683462,9.9923687
40.195539,-74.641375
30.313688,120.164602
36.254143,-120.23792
38.90042611,-99.31856264
42.1742546,-87.8161958
52.174537,11.493001
34.922962,-110.145558
22.274495,114.171429
29.7374320000,-95.4634470000
30.716158,-95.565944
30.2532099000,-81.5256754000
48.411054,10.44042
40.66319,-73.793192
31.27969,121.16766
22.306989,114.212648
51.570195,7.675267
59.381482,13.467294
40.0891852000,-75.3931463000
35.191331,-114.065592
55.682647,12.588687
43.879042,-91.188428
36.0623870000,-115.2283880000
36.165906,-115.138655
59.766259,10.257838
61.130464,10.434918
39.26937369,-103.7087172
46.052057,14.45315
55.766399,12.990671
46.832233,6.859269
34.667629,-79.002343
42.75625,-104.45267
51.370996,9.633307
58.15652,7.10296
45.7621391000,4.8449811000
41.31361465,-81.5171092
46.346553,4.850173
43.12669,-89.306896
33.9430936000,-84.5133834000
41.57833,-83.664593
43.795551,-90.059358
55.51074628,9.764323729
45.4655300000,9.1994000000
41.245823,-73.009059
41.246242,-73.010522
35.6704406000,139.7186684000
41.717337,-86.18863
43.647604,-79.687830
43.701129,-98.0445
38.573122,-109.552368
36.617115,-121.843888
39.023876,-77.144352
41.2126750000,-73.7274860000
41.310222,-122.31731
50.202872,11.776552
48.1331580000,11.5726770000
48.1461900000,11.7432000000
43.886915,-100.716887
42.3012393,-71.381778
39.678111,-111.841003
39.6635,-75.69017
43.815364,4.344721
40.508562,-88.984738
32.8688248000,-96.7737114000
41.8497614000,-87.9549746000
42.0569690000,-87.7499730000
51.626573,4.869871
37.4111630000,-122.1242540000
39.5610436,-104.8756401
39.9204100000,116.4502600000
42.518715,-87.950428
35.850587,-76.756116
29.108571,-81.034603
27.312983,-80.406683
33.660784,-114.241801
35.9059644000,-78.7469035000
56.43301468,10.05558366
44.105601,-103.212569
48.99469384,12.150694
51.947203,10.140477
38.78799,-112.085173
47.116294,-118.368328
42.243893,-88.978895
38.800537,-121.210485
39.1054008,-77.150895
35.972904,-77.846845
38.771208,-121.266149
38.87738376,-97.61871509
33.498538,-117.66309
29.827707,-97.979685
61.77824031,6.213241712
34.4336260000,-119.7454100000
37.3224530000,-121.9479540000
33.485858,-80.475763
32.135885,-81.212853
47.5931308,-122.3262856
47.6230721000,-122.3388407000
40.741185,-74.363365
39.631467,-106.070818
59.324292,10.954448
40.017517,-79.07712
44.082607,-123.037458
40.6877489,-74.3203939
49.7369,-123.1346
47.130137,10.269231
29.924286,-81.416018
42.056357,-86.456352
58.887686,5.705978
48.8270680000,9.1000240000
37.3575290000,-122.0200060000
40.7999,-73.5152
27.9500172000,-82.3543621000
34.98737,-118.946272
51.50778327,0.015614182
30.4032208000,-97.7251790000
31.448847,-83.53221
22.3744170000,114.1057500000
34.1911359000,-118.6024654000
43.7405008,-79.3217339
33.8113302,-118.3317427
40.061396,-80.6024
63.440571,10.462589
38.9179586000,-77.2217556000
58.35169,11.81156
32.8707200000,-117.2111400000
38.366645,-121.958136
34.1963208,-118.4932837
41.907367,-87.973138
59.570131,7.992551
31.582287,-97.109152
45.4491100000,-122.7817700000
42.36688,-71.203976
34.047526,-118.445593
26.7781155,-80.1091072
33.970281,-112.731503
50.816873,8.08576
47.4962891,8.6981642
38.64082,-77.29633
45.15313,-122.881254
43.63385,-95.595647
32.726686,-114.619093
51.940726,6.081793
43.7247752000,-79.4553801000
63.011511,7.975911
50.835825,4.35625
47.3265235,7.8048088
52.4781892,-1.9087075
59.7708328,10.2621389
51.507888,-0.221972
48.2725284,12.55031
43.1685194,2.9850479
50.5883964,4.307388
37.963139,-122.515392
49.1818243,10.068356
45.611941,-121.208249
34.1460088000,-118.1529974000
55.614438,12.613524
50.871231,4.464811
33.801116,-116.540061
44.478578,-88.053061
42.333974,-83.043069
39.48972,-119.795622
34.435065,-119.920236
42.956515,-71.508656
36.111238,-115.173245
26.339968,-80.078401
36.731887,-108.199882
39.324349,-120.169376
43.601718,-89.760314
44.950812,-89.663264
44.976151,-93.269278
32.786413,-96.795473
35.568983,-121.105261
37.937018,-107.81787
38.399874,-122.604426
41.893499,-87.625498
34.072883,-118.389618
47.607651,-122.339418
38.633716,-90.183986
36.089845,-115.173188
50.119909,-122.943814
34.416592,-119.641575
42.610238,-88.406031
38.955286,-119.943303
43.836747,-88.946859
43.038437,-87.91756
44.856628,-93.331366
38.689797,-75.074964
36.592387,-121.876274
33.721415,-116.326811
46.088478,-118.227154
34.054371,-118.411911
43.041929,-87.911333
35.022386,-110.696018
34.2508,-117.191926
49.287521,-123.123521
38.62995,-90.191849
36.091993,-115.17317
38.522276,-122.465968
36.101279,-115.16729
40.61588,-111.509028
33.516102,-117.757461
41.068775,-71.933361
34.421513,-119.640535
41.365163,-72.026168
38.29622,-122.283138
43.352154,-70.472727
34.02053,-117.926766
50.114138,-122.953815
36.228829,-121.764843
26.248965,-81.767941
33.8457902,-116.5444318
34.446845,-119.623718
43.60755,-89.782583
34.612955,-120.07901
26.525659,-82.191772
33.482573,-117.714637
43.87189,-121.44353
43.24501,-70.593904
34.144974,-118.370105
35.165863,-120.69005
41.39241,-70.506627
38.165257,-121.152498
33.019087,-117.205773
36.120106,-115.172665
43.038873,-87.905652
36.114311,-115.163239
39.039884,-94.591361
33.588671,-117.842165
49.123993,-125.901096
37.126463,-113.601737
57.45554462,10.04067481
50.181953,9.006662
51.9650564000,6.0037543000
26.3659040000,-80.1343440000
37.9284100000,-122.5146800000
21.3881200000,-158.0087030000
29.7227308,-95.5509927
39.9140651000,-86.1111523000
44.8786790000,-93.3997690000
33.5591910000,-117.6704540000
35.969135,-86.804301
40.7495299000,-74.0038378000
59.928377,10.85215
33.7861180000,-116.4751140000
48.9228304000,2.3153289000
45.4015183,-122.7486584
49.2829735000,-123.1219663000
59.920162,10.688231
38.6725611000,-90.3598237000
48.1574455,16.3345536
38.9023907000,-77.0269706000
41.0312752000,-73.7591855000
36.748516,-78.103517
32.8915497,-117.153424
47.3719847,8.5368064
46.958907,7.472250
52.3927644,13.5435943
59.5006239,17.926818
46.2238125,6.0521555
59.4450190000,18.0713760000
51.606331,5.005621
51.13694,4.377175
51.5111657,-0.4612202
33.619793,-111.9068416
31.9762,118.7607
30.272666,120.137659
30.2676,120.143
35.9038139,-78.747981
48.992001,4.245283
39.79977,116.517825
22.6189,114.05482
31.070008,121.428309
51.1639920000,6.8519380000
30.181405,-82.679605
52.3607810000,4.8828400000
40.544595,-74.334113
52.531375,6.157279
37.43374,-122.441248
37.78671,-122.402827
35.468748,-97.514184
39.63341,-106.52428
38.476549,-122.38888
40.716966,-74.032769
37.839448,-120.229199
36.109353,-115.175278
38.444093,-122.409261
30.259012,-97.747352
38.931037,-74.923703
40.575456,-124.264533
33.75946,-84.389174
47.614141,-122.336357
45.520192,-122.680017
41.555599,-70.620314
34.041963,-118.256607
36.152586,-86.797059
45.513619,-122.680676
39.240101,-119.94198
39.563186,-74.239133
32.312715,-110.9121
26.340876,-80.07185
36.123416,-115.170499
46.916772,-113.434551
51.504351,-0.015692
39.327438,-120.20741
47.82683,11.89809
45.023716,-74.748123
47.656578,-117.424414
47.656306,-117.423487
48.477124,-123.531203
36.597503,-121.892785
44.197094,-73.362238
41.631265,-70.594347
40.513221,-121.81233
38.688576,-122.946783
47.657247,-117.423946
43.747162,-111.111474
35.146613,-120.645444
30.651599,104.067022
55.489365,12.162954
47.726601,13.060463
35.65951,139.72853
35.425664,139.537478
35.038644,-85.19593
49.218222,6.183539
49.1950567,-123.1239313
20.679116,-156.441287
41.137742,-81.547282
49.263089,-123.137586
44.5098,-89.4071
35.466445,-83.920015
44.08071,-121.305244
33.097038,-117.283761
41.526829,-90.58126
47.672468,-116.784484
43.584571,-71.216957
36.374129,-94.207805
42.785565,-88.405655
41.896792,-87.625142
45.147765,8.990621
53.5536100000,9.9905707000
42.103321,-75.893754
24.560783,-81.806518
33.088507,-96.839327
39.103088,-84.512057
58.3279162,13.1327222
62.114848,10.616398
50.645428,8.9899167
27.940665,-82.323525
34.238115,-119.178084
33.741291,-116.215029
46.1369161,6.1243056
49.208678,2.606682
55.9453606,-3.3666667
51.420596,-0.988024
43.2011589,-71.544228
34.018311,-118.501067
39.746368,-104.998439
34.151844,-118.804643
47.732864,-122.147196
34.438204,-119.254609
45.5209868,-122.6877048
38.436068,-122.71986
29.7797741,-95.5616562
39.16093,-120.145295
33.766815,-116.45826
26.135869,-80.119945
43.589856,-110.826023
32.7675371,-96.7962415
33.9841057,-118.4507094
50.9881005,5.7805974
27.3850890000,-82.4531610000
41.5191779000,-81.4937950000
51.135213,-0.191793
32.878773,-111.681694
47.407325,0.744827
57.028956,14.014744
40.416707,-86.814045
51.506341,-0.07277
34.32753,-112.11846
39.044394,-95.760226
46.971073,8.459073
32.780654,-79.932352
40.100634,-80.661655
33.561023,-79.046193
34.03032,-118.48186
38.2567817,-85.7617756
47.250577,-122.439947
44.9803577,-93.2633657
45.7115478,-121.5526164
37.786041,-80.307948
29.422161,-98.484552
38.3935452,-122.6930142
42.350938,-71.0652645
40.6221159,-111.4909371
40.300091,-76.6896676
39.26742,-120.127504
38.9599005,-119.9445238
43.690663,-79.61702
37.64947,-118.986681
33.845377,-84.368627
36.501896,-121.9374874
32.896347,-96.962838
33.0889411,-96.8062995
33.793198,-84.285394
33.8478480000,-84.3636020000
45.496185,-73.658793
45.83626,-109.94341
45.70007,-111.06329
44.1121662,4.85175
51.5266939,-2.5998056
41.781195,-70.540289
47.003965,9.525809
30.593119,104.067362
29.608009,106.509449
30.585733,104.068603
31.974167,118.775068
28.347987,112.97953
28.112637,112.995725
41.811384,123.43661
38.87639,121.68571
22.519715,113.950088
39.907444,116.430377
26.052788,119.344358
46.914375,-114.031924
48.765484,13.046655
39.702238,-86.07959
39.240883,-120.05654
39.641904,-106.373118
39.188821,-106.821168
43.0367,-88.192208
38.504217,-122.770179
40.71387,-74.04138
35.229295,-82.335268
40.9553753,-72.1937181
33.946082,-118.3842664
38.402469,-122.361104
39.3154958,-123.799205
32.88024,-96.768568
60.884173,11.540802
68.860064,18.346626
46.2011615,6.1535129
29.140981,-82.193938
